id,y,x
63,5336135.937,691075.5
63,5336134.398,691079.765
64,5336137.23,691067.035
64,5336138.214,691063.588
64,5336140.356,691064.228
64,5336138.928,691067.847
65,5336138.264,691063.416
65,5336139.784,691060.401
65,5336141.501,691060.925
65,5336140.43,691064.08
66,5336139.938,691059.995
66,5336141.218,691056.585
66,5336142.948,691057.222
66,5336141.686,691060.506
67,5336141.384,691056.284
67,5336142.529,691053.222
67,5336144.203,691053.96
67,5336143.04,691056.97
68,5336142.584,691052.914
68,5336143.803,691050.047
68,5336145.465,691050.6
68,5336144.24,691053.856
69,5336143.852,691049.653
69,5336145.09,691046.58
69,5336146.794,691047.257
69,5336145.514,691050.495
70,5336145.108,691046.457
70,5336146.265,691043.375
70,5336148.112,691043.731
70,5336146.813,691047.159
71,5336146.339,691043.104
71,5336147.447,691040.248
71,5336149.195,691040.913
71,5336148.155,691043.577
72,5336147.521,691040.051
72,5336148.579,691037.072
72,5336150.45,691037.663
72,5336149.293,691040.593
73,5336148.702,691036.826
73,5336150.13,691033.158
73,5336151.885,691033.858
73,5336150.697,691037.368
74,5336150.254,691032.911
74,5336151.411,691029.76
74,5336153.276,691030.251
74,5336151.971,691033.563
75,5336151.681,691029.342
75,5336152.912,691025.242
75,5336154.876,691026.053
75,5336153.436,691029.956
76,5336152.986,691025.058
76,5336154.617,691021.597
76,5336156.402,691022.053
76,5336154.95,691025.881
77,5336154.753,691021.413
77,5336156.144,691017.584
77,5336157.923,691018.201
77,5336156.489,691021.88
78,5336156.23,691017.412
78,5336157.473,691014.248
78,5336159.209,691014.79
78,5336157.996,691017.992
79,5336157.535,691013.953
79,5336158.975,691010.297
79,5336160.699,691010.888
79,5336159.271,691014.544
80,5336159.061,691010.051
80,5336160.575,691006.062
80,5336162.36,691006.567
80,5336160.748,691010.678
81,5336160.699,691005.717
81,5336162.028,691002.394
81,5336163.813,691002.849
81,5336162.52,691006.271
82,5336162.114,691002.135
82,5336163.204,690998.973
82,5336165.056,690999.526
82,5336163.887,691002.628
83,5336163.401,690998.69
83,5336164.496,690995.649
83,5336166.361,690996.165
83,5336165.13,690999.341
84,5336164.705,690995.44
84,5336165.789,690992.301
84,5336167.666,690992.78
84,5336166.447,690995.931
85,5336166.01,690991.907
85,5336167.315,690988.362
85,5336169.192,690988.791
85,5336167.728,690992.558
86,5336167.537,690987.943
86,5336168.62,690985.112
86,5336170.411,690985.603
86,5336169.254,690988.594
87,5336168.694,690984.693
87,5336169.783,690982.119
87,5336171.531,690982.735
87,5336170.448,690985.431
88,5336169.82,690981.935
88,5336170.916,690979.153
88,5336172.627,690979.743
88,5336171.605,690982.538
89,5336170.977,690978.993
89,5336172.27,690975.657
89,5336173.932,690976.371
89,5336172.701,690979.571
90,5336172.344,690975.509
90,5336173.686,690971.951
90,5336175.323,690972.702
90,5336173.981,690976.21
38,5336082.915,691090.059
91,5336175.409,690972.542
91,5336173.784,690971.717
91,5336174.707,690969.218
91,5336176.48,690969.76
